n_samples,n_components,time_inside_function,task_time,celery_log_time
400000,4,0.233593013,0.239657799,0.2406572000036249
500000,4,0.310554361,0.313149785,0.32309210000676103
600000,4,0.32117002799999994,0.32577424099999996,0.35185349998937454
700000,4,0.39112327,0.39715859200000003,0.40357310000399593
4000000,4,2.9163036490000005,2.9299051130000002,3.0016466000088258
5000000,4,3.262732917,3.2776709889999998,3.329140500005451
6000000,4,4.181610055,4.204081866,4.226511900007608
7000000,4,5.483148997000001,5.503614262999999,5.549254600002314
10000000,4,7.245227452,7.28223649,7.4024374000000535
14000000,4,11.065233340999999,11.111657123,11.296641399996588
14500000,4,10.09257307,10.143759982999999,10.386043999998947
15000000,4,11.12107012,11.169914175,11.660691900004167
15500000,4,13.258376960000001,13.388244487,14.832972100004554
16000000,4,10.870163401,10.924073664,11.067979600004037